PPM,WTB,HDN,BFS,HLP,RBS,RVR,SPL,TBS,YSB,ABR,LIB
110,108,109,106,114,125,121,80,52,130,23,41
112,119,119,121,123,136,121,124,100,158,66,49
119,124,131,122,124,138,127,157,105,194,72,145
124,128,132,123,125,139,129,157,123,207,91,152
125,129,135,132,128,143,135,158,124,227,96,172
125,133,140,135,137,147,145,163,137,388,117,187
142,136,140,143,138,147,149,164,138,,125,213
144,147,144,150,148,150,150,166,144,,146,217
146,149,152,151,149,153,157,169,148,,165,217
147,152,153,153,153,162,158,210,160,,171,227
153,156,158,153,155,163,159,217,162,,183,232
158,167,158,153,156,164,177,307,163,,185,241
175,167,166,163,173,170,181,333,163,,207,
177,182,,175,190,202,181,,167,,213,
,,,,,,,,174,,242,
,,,,,,,,174,,260,
,,,,,,,,182,,467,
,,,,,,,,183,,,
,,,,,,,,188,,,
,,,,,,,,191,,,
,,,,,,,,193,,,
,,,,,,,,195,,,
,,,,,,,,212,,,
,,,,,,,,230,,,
,,,,,,,,236,,,
,,,,,,,,240,,,
,,,,,,,,255,,,
,,,,,,,,269,,,
,,,,,,,,285,,,
,,,,,,,,493,,,
