National Drug Code,ahfscc,tee_code,route_admin,brand_indicator,rx_otc,last_chg_dt,brand_name,gpi,rx_group,drug_class,gen_nm,fd_drug_name,manufacturer_name,dosage_form,unit,strength,usc,usc_desc
2197590,680800,NOT RATED,TRANSDERMAL,TRADEMARK,RX,30-Dec-15,AXIRON,2.31E+13,ANDROGENS-ANABOLIC,ANDROGENS,TESTOSTERONE,TESTOSTERONE TD SOLN 30 MG/ACT,LILLY,SOLUTION,MG/ACT,30,52153,"HORMONES,ANDROGENS,TRNSDR"
2322730,289200,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,STRATTERA,6.1354E+13,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,ATOMOXETINE HCL,ATOMOXETINE HCL CAP 10 MG (BASE EQUIV),LILLY,CAPSULE,MG,10,64700,NEWER GEN PSYCOTHER AGT
2322830,289200,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,STRATTERA,6.1354E+13,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,ATOMOXETINE HCL,ATOMOXETINE HCL CAP 25 MG (BASE EQUIV),LILLY,CAPSULE,MG,25,64700,NEWER GEN PSYCOTHER AGT
2322930,289200,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,STRATTERA,6.1354E+13,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,ATOMOXETINE HCL,ATOMOXETINE HCL CAP 40 MG (BASE EQUIV),LILLY,CAPSULE,MG,40,64700,NEWER GEN PSYCOTHER AGT
2323560,281604,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 20 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,20,64350,SNRI
2323701,281604,NOT AVAILABLE,ORAL,TRADEMARK,RX,27-Mar-14,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 60 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,60,64350,SNRI
2323704,281604,NOT RATED,ORAL,TRADEMARK,RX,28-Jun-12,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 60 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,60,64350,SNRI
2323730,281604,NOT RATED,ORAL,TRADEMARK,RX,28-Dec-11,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 60 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,60,64350,SNRI
2323830,289200,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,STRATTERA,6.1354E+13,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,ATOMOXETINE HCL,ATOMOXETINE HCL CAP 18 MG (BASE EQUIV),LILLY,CAPSULE,MG,18,64700,NEWER GEN PSYCOTHER AGT
2323930,289200,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,STRATTERA,6.1354E+13,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,ATOMOXETINE HCL,ATOMOXETINE HCL CAP 60 MG (BASE EQUIV),LILLY,CAPSULE,MG,60,64700,NEWER GEN PSYCOTHER AGT
2324030,281604,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 30 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,30,64350,SNRI
2324033,281604,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,1-Oct-15,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 30 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,30,64350,SNRI
2324090,281604,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 30 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,30,64350,SNRI
2325130,289200,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,STRATTERA,6.1354E+13,ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD) AGENTS,ATOMOXETINE HCL,ATOMOXETINE HCL CAP 100 MG (BASE EQUIV),LILLY,CAPSULE,MG,100,64700,NEWER GEN PSYCOTHER AGT
2327004,281604,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 60 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,60,64350,SNRI
2327030,281604,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,CYMBALTA,5.818E+13,ANTIDEPRESSANTS,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE HCL,DULOXETINE HCL ENTERIC COATED PELLETS CAP 60 MG,LILLY,CAPSULE DELAYED RELEASE PARTICLES,MG,60,64350,SNRI
2411230,281608,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,ZYPREXA,5.91571E+13,ANTIPSYCHOTICS/ANTIMANIC AGENTS,DIBENZAPINES,OLANZAPINE,OLANZAPINE TAB 2.5 MG,LILLY,TABLET,MG,2.5,64190,"ANTIPSYCHOTICS,OTH"
2411530,281608,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,ZYPREXA,5.91571E+13,ANTIPSYCHOTICS/ANTIMANIC AGENTS,DIBENZAPINES,OLANZAPINE,OLANZAPINE TAB 5 MG,LILLY,TABLET,MG,5,64190,"ANTIPSYCHOTICS,OTH"
